job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.024905206635594368,velocity,velocity_x1p5,1.5x,1.5,,variable_sparsity,0.1124955490231514,True,1.0,1.3258905410766602,128,0.18988671898841858,0.13761939108371735,0.059434980154037476,0.20328709483146667,0.14245223999023438,0.26325011253356934,0.19180893898010254,0.4638647735118866,0.4242532253265381,0.13143503665924072,0.20328709483146667,0.07647223770618439,0.24423649907112122,1.5
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.06351001560688019,velocity,velocity_x2,2.0x,2.0,,variable_sparsity,0.2257215529680252,True,1.0,1.3806934356689453,128,0.3104320466518402,0.24095526337623596,0.10433480143547058,0.3423486053943634,0.1914806365966797,0.3844251036643982,0.2470712512731552,0.5408881902694702,0.45209193229675293,0.2372054010629654,0.3423486053943634,0.10118965804576874,0.5050700902938843,2.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.2844001352787018,combined,combined_h1024_x1p5,"T=1024, 1.5x",T1024_1.5x,,variable_sparsity,0.500806450843811,True,1.0,1.4864857196807861,1024,1.0459668636322021,0.686905026435852,0.04901093244552612,1.1588728427886963,1.0575006008148193,1.2128450870513916,1.0901939868927002,1.3442400693893433,1.2269108295440674,0.6413111090660095,1.1588728427886963,0.5531060695648193,1.2058439254760742,1.5
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.4483494758605957,combined,combined_h1024_x2,"T=1024, 2.0x",T1024_2.0x,,variable_sparsity,0.7308569550514221,True,1.0,1.537050485610962,1024,1.3075339794158936,0.9598227143287659,0.10624386370182037,1.3802417516708374,1.3164833784103394,1.4412914514541626,1.3276383876800537,1.4903115034103394,1.5090429782867432,0.9037263989448547,1.3802417516708374,0.7733774185180664,1.6646195650100708,2.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.005408814642578363,dwell,dwell_block64,64-step middle blank,middle_blank_64,,variable_sparsity,0.05974533036351204,True,1.0,1.1519736051559448,128,0.09947022795677185,0.07070093601942062,0.025940947234630585,0.11032144725322723,0.08166313171386719,0.1953783929347992,0.17951035499572754,0.39484432339668274,0.3667421340942383,0.06387073546648026,0.11032144725322723,0.04797134920954704,0.1197933554649353,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.006354588083922863,dwell,dwell_dense,dense,dense,,dense,,True,1.0,1.4443029165267944,128,0.11430775374174118,0.0718708336353302,0.02333824895322323,0.1312585026025772,0.1107933521270752,0.22868484258651733,0.2029709666967392,0.44663578271865845,0.40689682960510254,0.0718708336353302,0.1312585026025772,0.0584627166390419,0.11905792355537415,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.0033186711370944977,dwell,dwell_p0p25,active p=0.25,0.25,,fixed_probability,0.05179447680711746,True,1.0,0.9348552227020264,128,0.08190634846687317,0.056068915873765945,0.022821325808763504,0.09028546512126923,0.0796668529510498,0.1697545051574707,0.14519023895263672,0.38994163274765015,0.3516025245189667,0.05287039279937744,0.09028546512126923,0.04265708476305008,0.09870047122240067,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.0041728694923222065,dwell,dwell_p0p50,active p=0.50,0.5,,fixed_probability,0.06152986362576485,True,1.0,1.2523558139801025,128,0.09339556097984314,0.05886814370751381,0.025776904076337814,0.10503832995891571,0.08808231353759766,0.17959412932395935,0.16195200383663177,0.3862802982330322,0.32131338119506836,0.06018665432929993,0.10503832995891571,0.05111446976661682,0.10160747170448303,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.0054804375395178795,dwell,dwell_p0p75,active p=0.75,0.75,,fixed_probability,0.07553542405366898,True,1.0,1.375307321548462,128,0.11067016422748566,0.06872258335351944,0.024258676916360855,0.12172001600265503,0.11046695709228516,0.19616520404815674,0.17049455642700195,0.38679972290992737,0.3225867748260498,0.07041768729686737,0.12172001600265503,0.05821821093559265,0.12836313247680664,1.0
pilot__rnn__s1__seed12,rnn,RNN,s1,12,True,0.02054002322256565,ring-selected zero-retuning,0.0048037003725767136,id,id_h128,ID T=128,128,,variable_sparsity,0.052149467170238495,True,1.0,1.2498135566711426,128,0.1009359359741211,0.06814853847026825,0.023651957511901855,0.11344023048877716,0.09829043596982956,0.19944331049919128,0.18242788314819336,0.41280117630958557,0.34587666392326355,0.06421029567718506,0.11344023048877716,0.05292975902557373,0.11581602692604065,1.0
